一堆曲别针,四星+一星鼓励，值得八分以上的佳作！还有我不理解 看了会睡觉一般是不感兴趣 看了骂依托答辩的都是什么脑回路。美国拍科幻片就能泛滥煽情主旋律，中国就不能是吧。美国就能输出，中国就不能是吧。再说了，我是真没看出来有多主旋律了，要硬说是主旋律的话我认为是人类命运共同体。《星际穿越》可以有亲情，生孩子没问题，到《流浪地球》这就催婚催生了是吧?《星际穿越》里美国人可以拯救全人类，《流浪地球》里中国人就不能拯救世界了是吧?《星际穿越》里可以抛弃一大部分人类，然后一小部分人类放弃地球和太阳系去新星球生存，《流浪地球》就不能有家国情怀，带着剩余一半的人类和地球去寻找新家园是吧?我只能说戴有色眼镜去看总能在鸡蛋里挑出来骨头。当然，上述这些是我好兄弟宸老师（豆瓣可以搜到）以及我亲身经历而有的输出。,5
油尖旺金毛琳,什么时候，我们可以不用在电影里踩低别人、别国、别的主义，来表达自己的优越的时候，才算是真的里程碑。,3
朝阳区陆依萍,整个观影感受就是又臭又长！不知道在打什么？不知道在忙什么？不知道在慌什么？不知道在干什么？,2
无心xwxw,比第1部好看。中国科幻电影需要更多的小破球,5
朝阳区妻夫木聪,当年看完第一部还是蛮喜欢的，觉得它试图在人类的有限里去探索一种无限，尽管这有很大的自我感动的嫌疑。但是这一部看完，不适的观感进一步加重了，尽可能放大所谓人类的情感联结，但是全片看下来超级累，满脑子蹦出来的都是四个字：大而“无用”。大之一，在于肿大，叙事上感觉特别冗余累赘，三条线串联得很笨，松散且有点重复。大之二，在于自大，甚至于接近膨胀的各种主义情绪滋生，这点就不展开说了。大之三，在于夸大，夸大的美学和场景设定，左淹自由女神像右爆悉尼歌剧院，东方明珠只露了个塔尖，鸟巢已经沉入海底了，大裤衩却只淹到脚底，当然这也并不影响啥，但就是觉得，没啥必要。而且，对所有一见面就揶揄女性自以为好笑的直男台词感到反感。工业层面看自然是无懈可击的，第一步也已经迈出去了，但总归是觉得，好像有点使劲错了方向。,3
feiyu21770,"散场
“你睡了吗？”
“我睡了”
“我也睡了”",2
Exodus,不要破坏太空电梯！我以后要坐的！,5
西楼尘,照古人的月亮将要毁灭今人，进化后的系统阻挡人类存续。人类制造复杂的密码用于相互毁灭，也诞生伟大的文明用于股骨愈合。宇宙里的小小白点是我们的一切，移山让人类的未来有了方向，科技却让数字的生命成为了可能。我们要活在电缆里荧屏中让意识自主永恒，还是心怀蓝天让躯体等到鲜花挂满枝头的瞬间。,5
黑山小钻风,你看流浪2买一张票就能看到《2001太空漫游》，《源代码》，《银翼杀手》，《星际穿越》，甚至还能看到吴京强加了一段太空版《男儿本色》。这么一看还挺值的。只是你得忍受巨慢的三个半小时，以及动不动就硬来的煽情和文化自恋。流浪1凭借文化自恋式的宣发搔到了那些自诩“站起来了”的人的痒处，票房赚麻了；导演尝到甜头，流浪2干脆就用上了痒痒挠，特别是那个年轻的女发言人对着暴跳的美方代表轻蔑的一笑说，我们只是告知不是征得你方同意。这时候电影院里如果不欢呼起立，爆发雷鸣般的掌声，那简直就是观众们不懂风情。,3
hkko,刚看完，特效国产最顶，故事情节也好，演员全部演的好,5
